# File: A221.bio_tech_prod.csv
# Title: Biomass Agricultural Production by Tech
# Units: EJ
# Description: Agricultural production by technology for biomass crops globally as a model output from V5.3 reference case
# Source: GCAM output
# Column types: ccccccnc
# ----------
scenario,region,sector,subsector,output,technology,2020,Units
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_IRR_lo,5.61E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_RFD_hi,5.83E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_RFD_lo,3.58E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_SinaiP,biomass,biomassGrass_SinaiP_IRR_hi,1.02E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_SinaiP,biomass,biomassGrass_SinaiP_IRR_lo,6.64E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_SinaiP,biomass,biomassGrass_SinaiP_RFD_hi,1.43E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_SinaiP,biomass,biomassGrass_SinaiP_RFD_lo,8.81E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrCstNW,biomass,biomassTree_AfrCstNW_IRR_hi,7.37E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrCstNW,biomass,biomassTree_AfrCstNW_IRR_lo,4.56E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrCstNW,biomass,biomassTree_AfrCstNW_RFD_hi,5.73E-08,EJ
