# File: A63.rsrc_curves.csv
# Title: Carbon storage resource supply curve points
# Comments: From Beerling et al (2021) source data.  https://doi.org/10.1038/s41586-020-2448-9 Median 2 C scenario. Regions not included in the Beerling study were scaled from those that were using total removal potential data from Streffler et al 2018
# Units: available: MtC cost: $1975/kg
# Column types: ccccnn
# ----------
resource,subresource,grade,region,available,cost
inorganic-surface-storage,inorganic-surface-storage,Grade 6,EU-15,56.98218164,0.159259312
inorganic-surface-storage,inorganic-surface-storage,Grade 7,EU-15,62.662572,0.161780958
inorganic-surface-storage,inorganic-surface-storage,Grade 8,EU-15,67.73892818,0.165062932
inorganic-surface-storage,inorganic-surface-storage,Grade 9,EU-15,72.19957091,0.170135084
inorganic-surface-storage,inorganic-surface-storage,Grade 10,EU-15,76.10982136,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 1,India,0,0.055494781
inorganic-surface-storage,inorganic-surface-storage,Grade 2,India,78.49063009,0.056259173
inorganic-surface-storage,inorganic-surface-storage,Grade 3,India,109.2604443,0.056679568
inorganic-surface-storage,inorganic-surface-storage,Grade 4,India,134.1926817,0.058826475
inorganic-surface-storage,inorganic-surface-storage,Grade 5,India,153.2438495,0.059089965
inorganic-surface-storage,inorganic-surface-storage,Grade 6,India,167.6625415,0.063549005
inorganic-surface-storage,inorganic-surface-storage,Grade 7,India,178.3001015,0.069230853
inorganic-surface-storage,inorganic-surface-storage,Grade 8,India,185.7472421,0.075726748
inorganic-surface-storage,inorganic-surface-storage,Grade 9,India,190.839042,0.082566713
inorganic-surface-storage,inorganic-surface-storage,Grade 10,India,194.807931,0.089386613
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Indonesia,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Indonesia,8.324698636,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Indonesia,11.59029764,0.04043273
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Indonesia,14.67931855,0.041348371
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Indonesia,17.55296864,0.042103418
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Indonesia,20.25539618,0.042110789
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Indonesia,22.85487927,0.042120767
inorganic-surface-storage,inorganic-surface-storage,Grade 8,Indonesia,25.29002591,0.042302156
inorganic-surface-storage,inorganic-surface-storage,Grade 9,Indonesia,27.47560445,0.04255686
inorganic-surface-storage,inorganic-surface-storage,Grade 10,Indonesia,29.46622827,0.042558702
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Mexico,0,0.078692214
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Mexico,6.760547182,0.08321989
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Mexico,9.645603818,0.086403401
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Mexico,12.33119482,0.087469101
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Mexico,14.73098591,0.08756068
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Mexico,16.80018518,0.087668574
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Mexico,18.51150518,0.089158323
inorganic-surface-storage,inorganic-surface-storage,Grade 8,Mexico,19.77531955,0.092257173
inorganic-surface-storage,inorganic-surface-storage,Grade 9,Mexico,20.62456527,0.096696439
inorganic-surface-storage,inorganic-surface-storage,Grade 10,Mexico,21.25312664,0.101858941
inorganic-surface-storage,inorganic-surface-storage,Grade 1,USA,0,0.135825283
inorganic-surface-storage,inorganic-surface-storage,Grade 2,USA,58.61301027,0.140542452
inorganic-surface-storage,inorganic-surface-storage,Grade 3,USA,83.864922,0.144292487
inorganic-surface-storage,inorganic-surface-storage,Grade 4,USA,106.7162179,0.146581986
inorganic-surface-storage,inorganic-surface-storage,Grade 5,USA,126.7210552,0.148223567
inorganic-surface-storage,inorganic-surface-storage,Grade 6,USA,143.8231208,0.150591793
inorganic-surface-storage,inorganic-surface-storage,Grade 7,USA,158.161386,0.154497953
inorganic-surface-storage,inorganic-surface-storage,Grade 8,USA,169.671069,0.160321772
inorganic-surface-storage,inorganic-surface-storage,Grade 9,USA,178.7710925,0.16801073
inorganic-surface-storage,inorganic-surface-storage,Grade 10,USA,186.4744001,0.176884639
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Africa_Eastern,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Africa_Eastern,0.15854099,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Africa_Eastern,7.704345767,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Africa_Eastern,14.8054535,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Africa_Eastern,15.88646233,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Africa_Eastern,16.34097578,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Africa_Eastern,16.53117485,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Africa_Northern,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Africa_Northern,0.01549267,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Africa_Northern,0.752870839,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Africa_Northern,1.446793087,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Africa_Northern,1.552429574,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Africa_Northern,1.596844757,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Africa_Northern,1.615431064,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Africa_Southern,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Africa_Southern,0.153901702,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Africa_Southern,7.478898188,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Africa_Southern,14.37221053,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Africa_Southern,15.42158645,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Africa_Southern,15.86279976,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Africa_Southern,16.04743315,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Africa_Western,0,0.038564679
